column,min,max,width,hidden,best_fit,outline_level,collapsed,style_id,custom_width
HGY,5615,5616,22.44140625,False,False,0,False,169,True
HHA,5617,5617,30.44140625,False,False,0,False,169,True
HHB,5618,5618,33.21875,False,False,0,False,169,True
HHC,5619,5619,21.21875,False,False,0,False,169,True
HHD,5620,5860,9.21875,False,False,0,False,169,True
HQK,5861,5861,2.77734375,False,False,0,False,169,True
HQL,5862,5862,7.21875,False,False,0,False,169,True
HQM,5863,5863,23.77734375,False,False,0,False,169,True
HQN,5864,5864,17.21875,False,False,0,False,169,True
HQO,5865,5865,15.0,False,False,0,False,169,True
HQP,5866,5866,18.77734375,False,True,0,False,169,True
HQQ,5867,5867,15.21875,False,False,0,False,169,True
HQR,5868,5868,9.77734375,False,False,0,False,169,True
HQS,5869,5869,41.21875,False,False,0,False,169,True
HQT,5870,5870,41.44140625,False,False,0,False,169,True
HQU,5871,5872,22.44140625,False,False,0,False,169,True
HQW,5873,5873,30.44140625,False,False,0,False,169,True
HQX,5874,5874,33.21875,False,False,0,False,169,True
HQY,5875,5875,21.21875,False,False,0,False,169,True
HQZ,5876,6116,9.21875,False,False,0,False,169,True
IAG,6117,6117,2.77734375,False,False,0,False,169,True
IAH,6118,6118,7.21875,False,False,0,False,169,True
IAI,6119,6119,23.77734375,False,False,0,False,169,True
IAJ,6120,6120,17.21875,False,False,0,False,169,True
IAK,6121,6121,15.0,False,False,0,False,169,True
IAL,6122,6122,18.77734375,False,True,0,False,169,True
IAM,6123,6123,15.21875,False,False,0,False,169,True
IAN,6124,6124,9.77734375,False,False,0,False,169,True
IAO,6125,6125,41.21875,False,False,0,False,169,True
IAP,6126,6126,41.44140625,False,False,0,False,169,True
IAQ,6127,6128,22.44140625,False,False,0,False,169,True
IAS,6129,6129,30.44140625,False,False,0,False,169,True
IAT,6130,6130,33.21875,False,False,0,False,169,True
IAU,6131,6131,21.21875,False,False,0,False,169,True
IAV,6132,6372,9.21875,False,False,0,False,169,True
IKC,6373,6373,2.77734375,False,False,0,False,169,True
IKD,6374,6374,7.21875,False,False,0,False,169,True
IKE,6375,6375,23.77734375,False,False,0,False,169,True
IKF,6376,6376,17.21875,False,False,0,False,169,True
IKG,6377,6377,15.0,False,False,0,False,169,True
IKH,6378,6378,18.77734375,False,True,0,False,169,True
IKI,6379,6379,15.21875,False,False,0,False,169,True
IKJ,6380,6380,9.77734375,False,False,0,False,169,True
IKK,6381,6381,41.21875,False,False,0,False,169,True
IKL,6382,6382,41.44140625,False,False,0,False,169,True
IKM,6383,6384,22.44140625,False,False,0,False,169,True
IKO,6385,6385,30.44140625,False,False,0,False,169,True
IKP,6386,6386,33.21875,False,False,0,False,169,True
IKQ,6387,6387,21.21875,False,False,0,False,169,True
